ncr_id,date_raised,supplier_id,component_id,process,defect_category,description,quantity_affected,severity,detection_method,containment_status,root_cause_status,corrective_action_status,verification_status,closure_status,closure_date
NCR-2026-001,2026-01-09,SUP-003,CMP-102,CNC Milling,Material issue,Porosity observed on the machined bore face of turbine housing castings during goods-in inspection.,6,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-02-13
NCR-2026-002,2026-01-16,SUP-002,CMP-103,CNC Milling,Surface finish,Hub face surface roughness measured above the drawing requirement on three impellers.,3,Minor,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-02-20
NCR-2026-003,2026-01-27,SUP-004,CMP-106,CNC Milling,Burr,Burrs present on oil gallery port edges following final machining.,11,Minor,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-03-06
NCR-2026-004,2026-02-04,SUP-003,CMP-106,CNC Milling,Positional tolerance,"Oil port position outside positional tolerance on two bodies, identified during CMM inspection.",2,Major,CMM inspection,Complete,Confirmed,Complete,Verified,Closed,2026-03-13
NCR-2026-005,2026-02-10,SUP-005,CMP-105,Cylindrical Grinding,Surface finish,Grinding chatter marks visible on the spline pitch diameter.,4,Minor,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-03-20
NCR-2026-006,2026-02-17,SUP-002,CMP-103,CNC Milling,Surface finish,Repeat occurrence of hub face roughness above the drawing requirement following NCR-2026-002.,5,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-04-02
NCR-2026-007,2026-02-25,SUP-004,CMP-104,Cylindrical Grinding,Dimensional deviation,Bearing carrier bore diameter measured below the lower specification limit on one part.,1,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-04-10
NCR-2026-008,2026-03-03,SUP-003,CMP-102,CNC Milling,Material issue,Casting inclusion found in the bore wall after rough machining.,4,Major,In-process inspection,Complete,Confirmed,Complete,Verified,Closed,2026-04-17
NCR-2026-009,2026-03-10,SUP-001,CMP-104,Cylindrical Grinding,Burr,Light burr on the bore entry chamfer across one carrier batch. Sorted and deburred at goods-in.,7,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-03-24
NCR-2026-010,2026-03-17,SUP-004,CMP-106,CNC Milling,Burr,Burrs on port edges recurring after the corrective action raised against NCR-2026-003.,9,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-05-01
NCR-2026-011,2026-03-24,SUP-002,CMP-101,CNC Turning,Surface finish,Journal surface finish marginally above the drawing requirement on second-source shafts.,2,Minor,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-05-08
NCR-2026-012,2026-03-31,SUP-005,CMP-105,Cylindrical Grinding,Visual defect,Handling marks on spline flanks noted at goods-in. Parts cleaned and re-presented.,6,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-04-14
NCR-2026-013,2026-04-02,SUP-003,CMP-102,CNC Milling,Dimensional deviation,Housing bore diameter above the upper specification limit on one housing.,1,Major,CMM inspection,Complete,Confirmed,Complete,Verified,Closed,2026-05-22
NCR-2026-014,2026-04-07,SUP-001,CMP-101,CNC Turning,Dimensional deviation,"Journal diameter measurements trending toward the upper specification limit across successive deliveries. One part measured 25.0193 mm, within 0.001 mm of the upper limit. No part had yet been recorded outside specification, so this NCR was raised against the process trend rather than against non-conforming parts.",2,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-06-05
NCR-2026-015,2026-04-14,SUP-004,CMP-104,Cylindrical Grinding,Assembly interface,Carrier-to-housing interface interference reported during trial build.,3,Major,Assembly build check,Complete,Confirmed,Complete,Verified,Closed,2026-05-29
NCR-2026-016,2026-04-20,SUP-002,CMP-103,CNC Milling,Burr,Burr on the impeller blade root radius. Deburred and re-inspected at goods-in.,4,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-05-05
NCR-2026-017,2026-04-23,SUP-003,CMP-106,CNC Milling,Material issue,Isolated surface porosity on the oil pump body mounting face. Parts rejected and replaced.,3,Minor,Goods-in inspection,Complete,Confirmed,Not required,Not applicable,Closed,2026-05-11
NCR-2026-018,2026-04-27,SUP-001,CMP-101,CNC Turning,Dimensional deviation,"Journal diameter above the upper specification limit of 25.020 mm on two shafts inspected on 21 and 22 April (25.0207 mm and 25.0205 mm). The individuals control chart for this characteristic shows a sustained upward shift beginning in early March, so the finding is treated as a process condition affecting the whole population rather than as two isolated parts.",2,Critical,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-06-26
NCR-2026-019,2026-05-01,SUP-005,CMP-105,Cylindrical Grinding,Surface finish,"Grinding burn indication on two spline journals, repeat of the condition raised in NCR-2026-005.",2,Major,Goods-in inspection,Complete,Confirmed,Complete,Verified,Closed,2026-06-19
