action_id,ncr_id,root_cause,immediate_containment,corrective_action,preventive_action,owner,due_date,status,verification_method,verification_result,closure_date
CA-001,NCR-2026-001,"Casting gate design allowed gas entrapment near the bore face, producing subsurface porosity that was only revealed once machining removed the skin.",Batch quarantined at goods-in and returned to supplier. Remaining stock 100% inspected after rough machining.,Supplier revised the gating and venting arrangement for the bore region and re-qualified the pattern.,Porosity inspection added to the supplier's final inspection routine for all castings from this pattern family.,A. Reed (Supplier Quality Engineer),2026-02-06,Complete,Inspection of the next three delivered batches after rough machining.,Effective - no porosity findings in the three batches following implementation.,2026-02-13
CA-002,NCR-2026-002,"Cutting tool used for the hub face had exceeded its intended life, degrading the achieved surface finish.",Affected impellers segregated and returned for refinishing.,Tool change interval for the hub face operation reduced and recorded on the setup sheet.,Tool life monitoring added to the operator check sheet for the milling cell.,M. Okoro (Manufacturing Engineer),2026-02-13,Complete,Surface roughness measurement on 10 parts from the following two deliveries.,Effective at the time of verification - all measured parts within the drawing requirement.,2026-02-20
CA-003,NCR-2026-003,Manual deburring of the port edges was inconsistent between operators and no defined edge condition was specified on the drawing note.,Batch sorted and deburred at goods-in before release to stores.,Deburring operation defined with a specified edge break and a reference sample provided to the operators.,Edge condition added to the inspection check sheet for all ported bodies.,J. Lindqvist (Quality Inspection Lead),2026-02-27,Complete,Visual inspection against the reference sample on the next two batches.,"Partially effective - improvement seen but the condition recurred, see NCR-2026-010.",2026-03-06
CA-004,NCR-2026-004,Fixture locating pin wear allowed part rotation during the port drilling operation.,Two affected bodies rejected. Remaining batch 100% CMM checked.,Locating pins replaced and a wear check added to the fixture maintenance schedule.,Fixture wear checks extended to the other two drilling fixtures used for this family.,M. Okoro (Manufacturing Engineer),2026-03-06,Complete,CMM check of port position on the following two batches.,Effective - all checked positions within tolerance.,2026-03-13
CA-005,NCR-2026-005,"Grinding wheel dressing interval was too long for the wheel grade in use, allowing the wheel to load and produce chatter.",Affected parts returned for regrinding.,Wheel dressing interval shortened and specified on the operation sheet.,Dressing interval reviewed for the other grinding operations on the same machine.,T. Fenwick (Manufacturing Engineering),2026-03-13,Complete,Surface finish measurement on the next two deliveries.,"Partially effective - finish improved but a related grinding burn condition later occurred, see NCR-2026-019.",2026-03-20
CA-006,NCR-2026-006,"The reduced tool change interval from CA-002 was recorded on the setup sheet but not built into the machine's tool life counter, so it depended on the operator remembering it.",Affected impellers segregated and returned for refinishing.,Tool life limit programmed into the machine controller so the tool change is prompted automatically.,Controller-based tool life limits applied to the other finish operations in the cell.,M. Okoro (Manufacturing Engineer),2026-03-20,Complete,Surface roughness on 10 parts per delivery for three consecutive deliveries.,Effective at the time of verification - no findings across the three deliveries checked.,2026-04-02
CA-007,NCR-2026-007,"Grinding wheel offset was corrected in the wrong direction after a wheel change, producing an undersized bore.",Part rejected. Remaining batch 100% inspected before release.,Offset correction after a wheel change made a two-person verified step on the setup sheet.,First-off approval requirement introduced after every wheel change on critical bore operations.,T. Fenwick (Manufacturing Engineering),2026-03-27,Complete,Bore diameter check on the first-off part after the next three wheel changes.,Effective - all first-off parts within tolerance.,2026-04-10
CA-008,NCR-2026-008,"Melt handling practice allowed slag carryover into the pour for one heat, producing inclusions.",Batch held at the supplier and re-inspected after rough machining.,Pouring procedure updated with a defined skimming step and a hold time before pouring.,Melt handling procedure reviewed with the foundry and applied to all heats for this alloy.,A. Reed (Supplier Quality Engineer),2026-04-10,Complete,Ultrasonic and visual inspection after rough machining on the next four batches.,"Partially effective - no inclusions found in the four batches checked, but porosity recurred later on the same component, see NCR-2026-025.",2026-04-17
CA-010,NCR-2026-010,"The reference sample provided under CA-003 was not controlled, and the sample in use at the supplier had been damaged, so the accepted edge condition had drifted.",Batch sorted and deburred at goods-in.,Reference samples brought under document control with a defined replacement interval and identification.,Controlled reference samples introduced for all visual and edge-condition acceptance criteria at this supplier.,J. Lindqvist (Quality Inspection Lead),2026-04-17,Complete,Visual inspection against the controlled sample on four consecutive batches.,Effective - no burr findings across the four batches following implementation.,2026-05-01
CA-011,NCR-2026-011,Finish turning feed rate at the second-source supplier was set from a generic process sheet rather than the part-specific parameters.,Two affected shafts rejected and replaced.,Part-specific finish turning parameters issued to the supplier and recorded in their process sheet.,Process parameter records reviewed for the other parts supplied by this second source.,A. Reed (Supplier Quality Engineer),2026-04-24,Complete,Surface finish measurement on all shafts in the next two deliveries.,"Partially effective - condition improved but recurred later, see NCR-2026-027.",2026-05-08
