inspection_id,inspection_date,supplier_id,component_id,process,characteristic,nominal,lsl,usl,unit,measured_value,in_spec,defect_flag,defect_category,severity,detection_method,batch_id
INS-00001,2026-01-05,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.997,1,0,,,Goods-in inspection,B-101-001-W01
INS-00002,2026-01-05,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9922,1,0,,,Goods-in inspection,B-101-001-W01
INS-00003,2026-01-05,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0033,1,0,,,Goods-in inspection,B-101-001-W01
INS-00015,2026-01-05,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9942,1,0,,,Goods-in inspection,B-101-002-W01
INS-00018,2026-01-05,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9945,1,0,,,Goods-in inspection,B-102-003-W01
INS-00019,2026-01-05,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0088,1,0,,,Goods-in inspection,B-102-003-W01
INS-00027,2026-01-05,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9997,1,0,,,Goods-in inspection,B-103-002-W01
INS-00028,2026-01-05,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,8.0021,1,0,,,Goods-in inspection,B-103-002-W01
INS-00035,2026-01-05,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9958,1,0,,,Goods-in inspection,B-104-004-W01
INS-00036,2026-01-05,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0035,1,0,,,Goods-in inspection,B-104-004-W01
INS-00043,2026-01-05,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,42.0037,1,0,,,Goods-in inspection,B-104-001-W01
INS-00047,2026-01-05,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9968,1,0,,,Goods-in inspection,B-105-005-W01
INS-00048,2026-01-05,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0006,1,0,,,Goods-in inspection,B-105-005-W01
INS-00056,2026-01-05,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0086,1,0,,,Goods-in inspection,B-106-004-W01
INS-00057,2026-01-05,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9986,1,0,,,Goods-in inspection,B-106-004-W01
INS-00063,2026-01-05,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.02,1,0,,,Goods-in inspection,B-106-003-W01
INS-00064,2026-01-05,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0162,1,0,,,Goods-in inspection,B-106-003-W01
INS-00004,2026-01-06,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9991,1,0,,,Goods-in inspection,B-101-001-W01
INS-00005,2026-01-06,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9993,1,0,,,Goods-in inspection,B-101-001-W01
INS-00006,2026-01-06,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0037,1,0,,,Goods-in inspection,B-101-001-W01
INS-00016,2026-01-06,SUP-002,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,24.9974,1,0,,,Goods-in inspection,B-101-002-W01
INS-00020,2026-01-06,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,60.0046,1,0,,,Goods-in inspection,B-102-003-W01
INS-00021,2026-01-06,SUP-003,CMP-102,CNC Milling,Bore Diameter,60.0,59.95,60.05,mm,59.9902,1,0,,,Goods-in inspection,B-102-003-W01
INS-00029,2026-01-06,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9956,1,0,,,Goods-in inspection,B-103-002-W01
INS-00030,2026-01-06,SUP-002,CMP-103,CNC Milling,Hub Thickness,8.0,7.97,8.03,mm,7.9921,1,0,,,Goods-in inspection,B-103-002-W01
INS-00037,2026-01-06,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9953,1,0,,,Goods-in inspection,B-104-004-W01
INS-00038,2026-01-06,SUP-004,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9988,1,0,,,Goods-in inspection,B-104-004-W01
INS-00044,2026-01-06,SUP-001,CMP-104,Cylindrical Grinding,Bore Diameter,42.0,41.975,42.025,mm,41.9886,1,0,,,Goods-in inspection,B-104-001-W01
INS-00049,2026-01-06,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,17.9994,1,0,,,Goods-in inspection,B-105-005-W01
INS-00050,2026-01-06,SUP-005,CMP-105,Cylindrical Grinding,Pitch Diameter,18.0,17.985,18.015,mm,18.0014,1,0,,,Goods-in inspection,B-105-005-W01
INS-00058,2026-01-06,SUP-004,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,12.0148,1,0,,,Goods-in inspection,B-106-004-W01
INS-00065,2026-01-06,SUP-003,CMP-106,CNC Milling,Oil Port Position,12.0,11.96,12.04,mm,11.9655,1,0,,,Goods-in inspection,B-106-003-W01
INS-00007,2026-01-07,SUP-001,CMP-101,CNC Turning,Journal Diameter,25.0,24.98,25.02,mm,25.0002,1,0,,,Goods-in inspection,B-101-001-W01
